asset,time,datetime_utc,open,high,low,close,long_liquidation_usd,short_liquidation_usd,total_liquidation_usd
BTCUSDT,1786792500,2026-08-15 11:15:00+00:00,62995.8,63020.5,62995.8,63009.9,0.0,0.0,0.0
BTCUSDT,1786793400,2026-08-15 11:30:00+00:00,63009.9,63021.7,63004.5,63021.7,4914.38,0.0,4914.38
BTCUSDT,1786794300,2026-08-15 11:45:00+00:00,63021.7,63031.4,62967.9,62993.1,0.0,0.0,0.0
BTCUSDT,1786795200,2026-08-15 12:00:00+00:00,62993.0,62993.1,62959.6,62959.6,11208.57,0.0,11208.57
BTCUSDT,1786796100,2026-08-15 12:15:00+00:00,62959.3,62966.0,62950.0,62964.8,62.96,0.0,62.96
BTCUSDT,1786797000,2026-08-15 12:30:00+00:00,62964.8,62964.9,62930.1,62933.9,3588.43,0.0,3588.43
BTCUSDT,1786797900,2026-08-15 12:45:00+00:00,62933.9,63030.4,62920.9,63028.8,0.0,0.0,0.0
BTCUSDT,1786798800,2026-08-15 13:00:00+00:00,63028.8,63058.2,62992.2,63044.2,7878.84,-3025.48,10904.32
BTCUSDT,1786799700,2026-08-15 13:15:00+00:00,63044.2,63052.6,63004.1,63007.2,63.04,-630.2,693.24
BTCUSDT,1786800600,2026-08-15 13:30:00+00:00,63007.1,63022.0,63000.0,63001.2,0.0,0.0,0.0
BTCUSDT,1786801500,2026-08-15 13:45:00+00:00,63001.1,63031.3,63001.1,63031.3,0.0,0.0,0.0
BTCUSDT,1786802400,2026-08-15 14:00:00+00:00,63031.2,63031.3,63004.0,63018.5,0.0,0.0,0.0
BTCUSDT,1786803300,2026-08-15 14:15:00+00:00,63018.6,63018.6,62961.9,63006.2,0.0,0.0,0.0
BTCUSDT,1786804200,2026-08-15 14:30:00+00:00,63006.1,63015.5,63002.3,63011.7,0.0,0.0,0.0
BTCUSDT,1786805100,2026-08-15 14:45:00+00:00,63011.6,63026.3,63011.6,63011.7,0.0,0.0,0.0
BTCUSDT,1786806000,2026-08-15 15:00:00+00:00,63011.7,63015.6,63009.9,63010.0,0.0,-1071.27,1071.27
BTCUSDT,1786806900,2026-08-15 15:15:00+00:00,63010.0,63056.2,62997.9,63042.3,0.0,0.0,0.0
